Source,Target,Weight
30056447,931135,0.5
16520788,11116372,0.5
30779589,14089735,0.5
23984796,658518,3.5
12706290,5612317,1.5
27727916,3319769,1.0
14536054,355634,1.0
2331534,1599151,0.5
8262427,481872,0.5
11589713,7691631,6.5
18023059,28155823,1.0
32340557,23096959,1.5
2163263,5830987,0.5
19927831,20264700,1.0
1362490,2410676,13.5
22737337,22737329,1.5
32104924,1784628,0.5
15907354,9257808,1.5
4648505,24500594,1.0
23404839,27494663,1.5
28677940,10344201,1.0
7748227,447036,1.5
2183193,23924195,0.5
1725199,355893,0.5
7411076,22155032,0.5
1287859,2156455,1.5
22982974,7639232,1.0
19614228,321278,0.5
4648505,13384052,1.5
4106792,9214768,1.0
26927081,26650305,1.5
26885032,26650305,1.0
12380069,7873535,1.0
11896413,17372733,0.5
20905275,17372733,0.5
11324222,321278,0.5
27776551,7209439,2.5
20929025,21060126,0.5
20929025,19606628,0.5
4555644,24777832,0.5
24560307,28096281,1.5
8486799,9996255,0.5
10846437,20100867,0.5
4580780,321278,1.0
357681,14089735,1.0
1036336,19099484,0.5
32403967,12791642,6.0
8270619,4197769,0.5
20580498,23096959,2.5
21233191,27729907,0.5
26050796,9996255,4.0
11589713,13234395,2.0
854078,692528,0.5
32270084,24910542,0.5
25331009,308770,1.0
4704710,1385122,2.0
21796735,5151909,0.5
213469,867564,0.5
15045751,11589713,0.5
23774298,23770421,2.0
32848140,10780607,1.0
1232968,596892,0.5
12820537,261943,0.5
611921,447184,0.5
6966619,777444,0.5
10975056,10126908,0.5
14712850,22700458,1.0
481872,321278,0.5
19896256,321278,0.5
6780534,1466080,0.5
12498335,9996255,5.0
1516094,4738266,1.0
26873147,27790789,1.0
98540,79712,1.0
2081289,1385122,1.0
11061773,28061676,0.5
730070,4434126,0.5
658518,788264,0.5
355634,3867127,0.5
28394156,28305425,0.5
7344953,37690,1.0
31404632,29891188,0.5
14089735,357681,0.5
24254047,14089735,0.5
10067157,9996255,6.5
7529257,2594187,2.0
25627422,15800559,0.5
12511640,17558946,0.5
32452938,3468294,0.5
3794049,1549395,2.5
2916712,507775,5.5
27563721,30921526,1.0
14000045,3195124,0.5
16185172,14225208,2.0
10851820,13815852,0.5
238986,13347640,3.5
13347640,238986,2.5
8962829,167174,1.0
18107697,16349163,0.5
11061773,5932749,0.5
218157,13807606,0.5
10270250,321278,0.5
28283593,26516210,3.5
11589713,11225014,1.5
24395109,13631558,0.5
13631558,24395109,0.5
24474126,24474138,2.0
11164718,9521528,0.5
2649214,5830987,0.5
5312648,5282596,1.0
10344201,6607925,0.5
6607925,10344201,0.5
29985850,13305534,1.0
22148545,23627382,2.0
28223616,10270250,0.5
13258039,355893,0.5
15350898,11753734,0.5
30701212,19745004,1.0
13810259,15337722,1.5
10041891,11778024,0.5
25077882,24560307,0.5
24910542,32270084,0.5
21116798,9996255,0.5
25838895,1451352,0.5
29688210,14105478,0.5
24560307,20929025,0.5
20307596,13230665,1.0
16180304,5952670,0.5
484788,919161,0.5
8251925,5400018,0.5
8044474,481872,0.5
18689903,3149845,1.0
15042339,321278,0.5
10851820,29455960,4.5
1385122,28710753,1.5
25003905,7804910,0.5
23876490,21679569,2.0
11843609,23096959,0.5
11851236,1064563,0.5
16152925,18533350,1.0
3757512,9996255,1.5
22737333,21909749,0.5
16185172,21449162,3.0
20638880,25003905,0.5
22480578,5775917,0.5
13633443,20304586,0.5
4011054,5694513,0.5
13124802,14151539,0.5
11446601,1105519,0.5
6884828,3329386,0.5
810796,8514,0.5
6645850,6486826,0.5
13672849,32170696,2.5
26195776,15480067,0.5
16184890,17671906,0.5
4989235,641512,0.5
9787757,1725199,0.5
32170696,13672849,0.5
37690,7344953,0.5
23335023,321278,0.5
9244177,3342055,0.5
28402826,167174,1.0
5932749,931039,1.0
5483330,1039520,0.5
18409797,14430294,1.0
16286131,20897561,2.0
15666354,1284185,0.5
2305374,84822,0.5
25331009,481872,0.5
714074,3678731,1.0
9703957,9478219,0.5
2634628,1142976,1.0
28710753,7056202,0.5
7056202,28710753,0.5
15846674,11061773,2.5
25738703,19008038,1.0
1844251,3796237,0.5
17923502,6506651,0.5
21338881,3214406,1.0
3885202,3911317,0.5
3911317,3885202,0.5
20789757,28627094,0.5
20100867,9325315,1.0
23096959,32340557,0.5
2228226,3198415,0.5
26229585,15309233,3.5
13815852,17286587,0.5
1084114,2556327,1.5
4434126,730070,2.5
8711353,16831466,4.0
31614586,10312708,0.5
22252531,7691631,0.5
26077653,19872456,0.5
10066825,931135,0.5
557980,10932532,0.5
22321368,10040960,2.0
20785986,658518,1.0
14562056,12256376,0.5
8715146,20460946,1.0
5801666,2410676,0.5
5303123,658518,1.0
6209952,19848353,0.5
31492490,29103567,2.5
27620277,11061773,0.5
14812631,9384267,0.5
3016562,14089735,1.0
1801829,24560307,0.5
10616272,771016,0.5
893522,321278,0.5
9996255,22395078,3.0
15309233,26229585,1.5
17912002,11369603,0.5
3745077,206084,1.5
16962074,12892263,1.0
907410,167174,0.5
15971562,15168264,1.5
9996255,8486799,4.5
24195339,32405591,1.5
25538333,25537901,1.0
911765,25252102,1.5
32181539,1446467,0.5
28882767,447036,2.0
14151539,13124802,1.0
3468294,32452938,0.5
